PRODUTOS;;;;;;
ID;PRODUTO;IMAGEM 1;IMAGEM 2;IMAGEM 3;IMAGEM 4;IMAGEM 5
501467;Gaiola Hamster C/Jogo De Tubos Luxo Azul;https://images.tcdn.com.br/img/img_prod/1265869/gaiola_hamster_c_jogo_de_tubos_luxo_azul_501467_1_439b068cb14b819b595de1dc99778715_20240123154449.jpg;;;;
501469;Gaiola Hamster C/Jogo De Tubos Luxo Lilas;https://images.tcdn.com.br/img/img_prod/1265869/gaiola_hamster_c_jogo_de_tubos_luxo_lila_501469_1_25f026962b0b9b6ba03ce08b16a3f1ff_20240123154449.jpg;;;;
501471;Gaiola Hamster Peq (Brasil) Azul;https://images.tcdn.com.br/img/img_prod/1265869/gaiola_hamster_peq_brasil_azul_501471_1_fd996886e496ff8628f6ae1adbfac75a_20240123154449.jpg;;;;
501473;Gaiola Hamster Peq (Brasil) Vermelha;https://images.tcdn.com.br/img/img_prod/1265869/gaiola_hamster_peq_brasil_vermelha_501473_1_f7a27b69bd31bcb668cf9caa654b49cf_20240123154449.jpg;;;;
508061;"Galheteiro Realce 0,25 L - Tramontina";https://images.tcdn.com.br/img/img_prod/1265869/galheteiro_realce_0_25_l_tramontina_508061_1_58ce971493a0aef433e17a9412f8ab00_20240123153732.jpg;;;;
508067;"Galheteiro Realce 0,39 L - Tramontina";https://images.tcdn.com.br/img/img_prod/1265869/galheteiro_realce_0_39_l_tramontina_508067_1_4476b5755d3df13dd63d17a0565cb435_20240123153732.jpg;;;;
509375;Gamela Com 5 Divisórias Bamboo - Mor;https://images.tcdn.com.br/img/img_prod/1265869/gamela_com_5_divisorias_bamboo_mor_509375_1_09db8832fa0cccaa1987ce673c72f70a_20240123153957.jpg;;;;
507849;Gamela Organica Churrasco Madeira Teca Fsc 25X25Cm - Tramontina;https://images.tcdn.com.br/img/img_prod/1265869/gamela_organica_churrasco_madeira_teca_fsc_25x25cm_tramontina_507849_1_f66b7e3edefb8466ad34918efbffef0d_20240123153609.jpg;;;;
507855;Gamela Organica Churrasco Madeira Teca Fsc 37X30Cm - Tramontina;https://images.tcdn.com.br/img/img_prod/1265869/gamela_organica_churrasco_madeira_teca_fsc_37x30cm_tramontina_507855_1_a4a40cceb3696a6ab3babe196b6e52e5_20240123153611.jpg;;;;
505741;Gancho De Açougue Aço Inox 1/4" - Malta;https://images.tcdn.com.br/img/img_prod/1265869/gancho_de_acougue_aco_inox_1_4_malta_505741_1_008bf4b25d52264b9e726a7474867071_20240123153151.jpg;;;;
505739;Gancho De Açougue Aço Inox 3/16" - Malta;https://images.tcdn.com.br/img/img_prod/1265869/gancho_de_acougue_aco_inox_3_16_malta_505739_1_008bf4b25d52264b9e726a7474867071_20240123153151.jpg;;;;
505747;Gancho De Açougue Aço Inox 3/8" - Malta;https://images.tcdn.com.br/img/img_prod/1265869/gancho_de_acougue_aco_inox_3_8_malta_505747_1_008bf4b25d52264b9e726a7474867071_20240123153152.jpg;;;;
505743;Gancho De Açougue Aço Inox 5/16" - Malta;https://images.tcdn.com.br/img/img_prod/1265869/gancho_de_acougue_aco_inox_5_16_malta_505743_1_008bf4b25d52264b9e726a7474867071_20240123153151.jpg;;;;
